Model,Threshold,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,Balanced Accuracy
XGBoost,0.5,0.9993438320209974,0.8529411764705882,0.9354838709677419,0.8923076923076924,0.9864138263577834,0.936300858164062,0.9675069068103728
Random Forest,0.5,0.9992500937382827,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.9810915641385669,0.9305074279211702,0.9352958480289434
Tuned ANN,0.9503990411758423,0.9988751406074241,0.7567567567567568,0.9032258064516129,0.8235294117647058,0.9839695281534024,0.7077791418320235,0.9511898516135098
Vanilla ANN,0.5,0.9932508436445444,0.29292929292929293,0.9354838709677419,0.4461538461538462,0.9896526731099903,0.6573766768952826,0.9644515340548966
Logistic Regression,0.5,0.9869703787026621,0.16666666666666666,0.8709677419354839,0.27979274611398963,0.9819240205369572,0.5657616035205383,0.9291380967832914
